Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country,Latitude,Longitude
In progress,1495,Medium,Chat,Feature request,1st line support,Connor Danielovitch,2023-03-02 17:46:57,2023-03-03 17:46:57,2023-03-02 17:48:57,2023-03-02 17:48:48.406,Within SLA,,SLA Violated,,6.0,,Ready to use Software,Tier 1,France,48.864716,2.349014
Resolved,1496,Medium,Phone,Feature request,1st line support,Kristos Westoll,2023-03-02 22:28:26,2023-03-04 22:28:26,2023-03-02 22:30:26,2023-03-02 22:30:35.379,SLA Violated,2023-03-07 10:24:18.979,SLA Violated,,1.0,,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106
Resolved,1497,Medium,Chat,Purchasing and invoicing,1st line support,Kristos Westoll,2023-03-03 16:18:18,2023-03-04 16:18:18,2023-03-03 16:20:18,2023-03-03 16:19:41.198,Within SLA,2023-03-09 02:46:45.623,SLA Violated,,6.0,,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106
In progress,1498,Low,Email,Product setup,1st line support,Kristos Westoll,2023-03-03 13:32:16,2023-03-05 13:32:16,2023-03-03 14:32:16,2023-03-03 14:28:06.854,Within SLA,,SLA Violated,,2.0,,Training and Consulting Services,Tier 1,Poland,52.536273,19.050639
Resolved,1499,Low,Chat,Product setup,1st line support,Kristos Westoll,2023-03-03 21:03:44,2023-03-04 21:03:44,2023-03-03 21:05:44,2023-03-03 21:03:46.012,Within SLA,2023-03-04 14:17:01.482,Within SLA,,8.0,,Ready to use Software,Tier 1,Spain,39.67337,-4.767726
In progress,1500,Medium,Email,Pricing and licensing,1st line support,Nicola Wane,2023-03-03 06:08:20,2023-03-05 06:08:20,2023-03-03 07:08:20,2023-03-03 06:46:13.723,Within SLA,,SLA Violated,,1.0,,Custom software development,Tier 1,Greece,39.368279,21.863141
Resolved,1502,Low,Chat,Other,1st line support,Connor Danielovitch,2023-03-04 18:27:23,2023-03-05 18:27:23,2023-03-04 18:29:23,2023-03-04 18:27:30.196,Within SLA,2023-03-05 06:00:44.602,Within SLA,,60.0,,Ready to use Software,Tier 1,Greece,39.368279,21.863141
In progress,1503,Low,Email,Other,1st line support,Nicola Wane,2023-03-04 10:20:16,2023-03-06 10:20:16,2023-03-04 11:20:16,2023-03-04 15:18:01.092,SLA Violated,,SLA Violated,,9.0,,Custom software development,Tier 1,Austria,47.6964719,13.3457347
Resolved,1504,Low,Email,Purchasing and invoicing,1st line support,Nicola Wane,2023-03-04 17:46:47,2023-03-06 17:46:47,2023-03-04 18:46:47,2023-03-04 18:36:48.585,Within SLA,2023-03-05 18:51:13.414,Within SLA,,5.0,,Other,Tier 1,Poland,52.536273,19.050639
Resolved,1515,Low,Email,Feature request,1st line support,Nicola Wane,2023-03-05 04:57:01,2023-03-07 04:57:01,2023-03-05 05:57:01,2023-03-05 05:36:34.490,Within SLA,2023-03-06 23:59:58.498,Within SLA,,2.0,,Custom software development,Tier 1,Czech Republic,49.8037633,15.4749126
Resolved,1516,Low,Email,Other,1st line support,Kristos Westoll,2023-03-05 07:34:22,2023-03-07 07:34:22,2023-03-05 08:34:22,2023-03-05 07:45:47.230,Within SLA,2023-03-06 16:20:26.657,Within SLA,,2.0,,Custom software development,Tier 1,Germany,51.165691,10.451526
In progress,1520,Low,Chat,Pricing and licensing,1st line support,Bernard Beckley,2023-03-06 21:19:53,2023-03-07 21:19:53,2023-03-06 21:21:53,2023-03-06 21:21:26.212,Within SLA,,SLA Violated,,6.0,,Custom software development,Tier 1,Bulgaria,42.7249925,25.4833039
In progress,1521,Low,Chat,Pricing and licensing,2nd line support,Heather Urry,2023-03-06 10:20:35,2023-03-07 10:20:35,2023-03-06 10:22:35,2023-03-06 10:23:37.021,SLA Violated,,SLA Violated,,6.0,,Ready to use Software,Tier 2,Italy,43.036776,12.678565
Resolved,1525,High,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-03-06 15:56:32,2023-03-08 15:56:32,2023-03-06 16:56:32,2023-03-06 16:19:03.236,Within SLA,2023-03-07 08:25:54.760,Within SLA,,4.0,,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106
In progress,1526,Medium,Email,Bug report,1st line support,Nicola Wane,2023-03-06 07:21:44,2023-03-08 07:21:44,2023-03-06 08:21:44,2023-03-06 07:57:55.555,Within SLA,,SLA Violated,,2.0,,Ready to use Software,Tier 1,Italy,43.036776,12.678565
In progress,1527,High,Email,Product setup,2nd line support,Adolpho Messingham,2023-03-06 18:06:51,2023-03-08 18:06:51,2023-03-06 19:06:51,2023-03-06 18:27:13.455,Within SLA,,SLA Violated,,7.0,,Training and Consulting Services,Tier 2,United Kingdom,55.378052,-3.435973
Resolved,1528,Low,Phone,Pricing and licensing,1st line support,Connor Danielovitch,2023-03-06 04:37:11,2023-03-08 04:37:11,2023-03-06 04:39:11,2023-03-06 04:37:27.343,Within SLA,2023-03-07 18:57:15.976,Within SLA,,3.0,,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1530,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,2023-03-07 13:30:45,2023-03-08 13:30:45,2023-03-07 13:32:45,2023-03-07 13:31:29.956,Within SLA,2023-03-11 01:36:14.400,SLA Violated,,4.0,,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126
Resolved,1532,Low,Email,Feature request,1st line support,Kristos Westoll,2023-03-07 05:15:02,2023-03-09 05:15:02,2023-03-07 06:15:02,2023-03-07 06:03:00.178,Within SLA,2023-03-08 19:41:50.814,Within SLA,,1.0,,Other,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1533,High,Email,Purchasing and invoicing,1st line support,Sheela Cutten,2023-03-07 23:13:52,2023-03-09 23:13:52,2023-03-08 00:13:52,2023-03-07 23:20:55.983,Within SLA,2023-03-09 07:21:43.558,Within SLA,,9.0,,Training and Consulting Services,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1535,Medium,Email,Feature request,2nd line support,Michele Whyatt,2023-03-07 19:26:05,2023-03-09 19:26:05,2023-03-07 20:26:05,2023-03-07 19:29:49.689,Within SLA,2023-03-09 16:27:17.333,Within SLA,,2.0,,Other,Tier 2,United Kingdom,55.378052,-3.435973
Resolved,1536,Medium,Email,Product setup,1st line support,Nicola Wane,2023-03-07 02:09:56,2023-03-09 02:09:56,2023-03-07 03:09:56,2023-03-07 02:27:03.017,Within SLA,2023-03-08 13:46:05.491,Within SLA,,5.0,,Custom software development,Tier 1,Slovenia,46.1491664,14.9860106
Resolved,1539,Low,Email,Bug report,2nd line support,Heather Urry,2023-03-08 19:03:39,2023-03-10 19:03:39,2023-03-08 20:03:39,2023-03-08 19:17:35.924,Within SLA,2023-03-08 23:27:56.675,Within SLA,,10.0,,Ready to use Software,Tier 2,Germany,51.165691,10.451526
Resolved,1541,Medium,Chat,Product setup,1st line support,Kristos Westoll,2023-03-08 19:55:45,2023-03-09 19:55:45,2023-03-08 19:57:45,2023-03-08 19:56:12.462,Within SLA,2023-03-08 22:25:39.310,Within SLA,,60.0,,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
In progress,1545,Low,Chat,Feature request,1st line support,Bernard Beckley,2023-03-08 19:24:41,2023-03-09 19:24:41,2023-03-08 19:26:41,2023-03-08 19:30:31.453,SLA Violated,,SLA Violated,,6.0,,Custom software development,Tier 1,Bulgaria,42.7249925,25.4833039
In progress,1546,Medium,Chat,Other,2nd line support,Heather Urry,2023-03-08 01:14:25,2023-03-09 01:14:25,2023-03-08 01:16:25,2023-03-08 01:16:08.969,Within SLA,,SLA Violated,,4.0,,Custom software development,Tier 2,Italy,43.036776,12.678565
Resolved,1547,Low,Email,Other,2nd line support,Adolpho Messingham,2023-03-08 16:10:52,2023-03-10 16:10:52,2023-03-08 17:10:52,2023-03-08 17:01:41.478,Within SLA,2023-03-10 06:07:39.025,Within SLA,,3.0,,Ready to use Software,Tier 2,Austria,47.6964719,13.3457347
In progress,1549,Low,Chat,Purchasing and invoicing,1st line support,Sheela Cutten,2023-03-08 19:22:33,2023-03-09 19:22:33,2023-03-08 19:24:33,2023-03-08 19:22:43.131,Within SLA,,SLA Violated,,9.0,,Training and Consulting Services,Tier 1,Republic of Ireland,53.094024,-8.019675
Resolved,1550,Low,Chat,Feature request,1st line support,Bernard Beckley,2023-03-09 07:31:05,2023-03-10 07:31:05,2023-03-09 07:33:05,2023-03-09 07:31:46.899,Within SLA,2023-03-09 18:22:37.688,Within SLA,,5.0,,Ready to use Software,Tier 1,Poland,52.536273,19.050639
In progress,1553,Medium,Email,Feature request,1st line support,Connor Danielovitch,2023-03-09 22:52:40,2023-03-11 22:52:40,2023-03-09 23:52:40,2023-03-09 22:53:38.525,Within SLA,,SLA Violated,,2.0,,Ready to use Software,Tier 1,Italy,43.036776,12.678565
Resolved,1557,Medium,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-03-09 01:51:28,2023-03-11 01:51:28,2023-03-09 02:51:28,2023-03-09 02:21:02.287,Within SLA,2023-03-11 00:55:05.989,Within SLA,,3.0,,Training and Consulting Services,Tier 1,Republic of Ireland,53.094024,-8.019675
In progress,1562,Low,Email,Feature request,2nd line support,Adolpho Messingham,2023-03-10 00:32:45,2023-03-12 00:32:45,2023-03-10 01:32:45,2023-03-10 01:13:09.458,Within SLA,,SLA Violated,,2.0,,Other,Tier 2,United Kingdom,55.378052,-3.435973
Resolved,1563,Low,Chat,Feature request,1st line support,Sheela Cutten,2023-03-10 00:43:40,2023-03-11 00:43:40,2023-03-10 00:45:40,2023-03-10 00:45:17.711,Within SLA,2023-03-10 14:07:43.309,Within SLA,,3.0,,Custom software development,Tier 1,Bulgaria,42.7249925,25.4833039
In progress,1567,Medium,Email,Other,1st line support,Connor Danielovitch,2023-03-11 22:08:57,2023-03-13 22:08:57,2023-03-11 23:08:57,2023-03-11 22:37:09.744,Within SLA,,SLA Violated,,3.0,,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347
Resolved,1568,Medium,Email,Product setup,1st line support,Sheela Cutten,2023-03-11 04:34:35,2023-03-13 04:34:35,2023-03-11 05:34:35,2023-03-11 05:02:24.283,Within SLA,2023-03-12 00:49:06.972,Within SLA,,4.0,,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126
Resolved,1573,Low,Email,Product setup,2nd line support,Heather Urry,2023-03-11 01:06:38,2023-03-13 01:06:38,2023-03-11 02:06:38,2023-03-11 01:50:22.194,Within SLA,2023-03-12 00:53:41.562,Within SLA,,2.0,,Ready to use Software,Tier 2,United Kingdom,55.378052,-3.435973
Resolved,1574,Medium,Chat,Other,1st line support,Nicola Wane,2023-03-11 15:34:51,2023-03-12 15:34:51,2023-03-11 15:36:51,2023-03-11 15:35:13.796,Within SLA,2023-03-12 09:31:06.952,Within SLA,,6.0,,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1575,High,Email,Feature request,1st line support,Sheela Cutten,2023-03-12 03:04:01,2023-03-14 03:04:01,2023-03-12 04:04:01,2023-03-12 03:31:01.238,Within SLA,2023-03-15 23:42:24.741,SLA Violated,,3.0,,Custom software development,Tier 1,Italy,43.036776,12.678565
Resolved,1576,Low,Email,Purchasing and invoicing,2nd line support,Michele Whyatt,2023-03-12 01:00:06,2023-03-14 01:00:06,2023-03-12 02:00:06,2023-03-12 01:46:15.414,Within SLA,2023-03-12 05:29:28.060,Within SLA,,2.0,,Ready to use Software,Tier 2,Austria,47.6964719,13.3457347
Resolved,1582,Low,Phone,Purchasing and invoicing,1st line support,Nicola Wane,2023-03-13 11:05:16,2023-03-15 11:05:16,2023-03-13 11:07:16,2023-03-13 11:05:29.359,Within SLA,2023-03-15 09:34:06.827,Within SLA,,3.0,,Ready to use Software,Tier 1,Poland,52.536273,19.050639
In progress,1584,Low,Chat,Feature request,1st line support,Connor Danielovitch,2023-03-13 13:19:39,2023-03-14 13:19:39,2023-03-13 13:21:39,2023-03-13 13:20:29.078,Within SLA,,SLA Violated,,9.0,,Other,Tier 1,United Kingdom,55.378052,-3.435973
Open,1586,Medium,Email,Product setup,1st line support,Nicola Wane,2023-03-13 17:00:43,2023-03-15 17:00:43,2023-03-13 18:00:43,,SLA Violated,,SLA Violated,,,,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Resolved,1588,Low,Chat,Purchasing and invoicing,2nd line support,Heather Urry,2023-03-13 15:59:29,2023-03-14 15:59:29,2023-03-13 16:01:29,2023-03-13 16:00:41.602,Within SLA,2023-03-15 07:19:23.122,SLA Violated,,4.0,,Ready to use Software,Tier 2,Greece,39.368279,21.863141
In progress,1590,Low,Email,Purchasing and invoicing,1st line support,Nicola Wane,2023-03-13 10:15:38,2023-03-15 10:15:38,2023-03-13 11:15:38,2023-03-13 10:41:30.978,Within SLA,,SLA Violated,,2.0,,Training and Consulting Services,Tier 1,Czech Republic,49.8037633,15.4749126
In progress,1592,Low,Email,Other,1st line support,Sheela Cutten,2023-03-13 07:20:49,2023-03-15 07:20:49,2023-03-13 08:20:49,2023-03-13 08:03:15.696,Within SLA,,SLA Violated,,5.0,,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106
Resolved,1593,Medium,Email,Product setup,2nd line support,Michele Whyatt,2023-03-14 09:39:52,2023-03-16 09:39:52,2023-03-14 10:39:52,2023-03-14 10:12:45.716,Within SLA,2023-03-16 06:05:59.955,Within SLA,,1.0,,Ready to use Software,Tier 2,Italy,43.036776,12.678565
Resolved,1595,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-03-14 18:42:04,2023-03-16 18:42:04,2023-03-14 19:42:04,2023-03-14 19:30:38.623,Within SLA,2023-03-16 16:46:56.127,Within SLA,,10.0,,Other,Tier 1,Spain,39.67337,-4.767726
Resolved,1602,High,Email,Feature request,2nd line support,Michele Whyatt,2023-03-15 00:44:09,2023-03-17 00:44:09,2023-03-15 01:44:09,2023-03-15 01:35:42.423,Within SLA,2023-03-16 12:29:39.978,Within SLA,,2.0,,Ready to use Software,Tier 2,Germany,51.165691,10.451526
Resolved,1603,Medium,Email,Feature request,1st line support,Sheela Cutten,2023-03-15 12:59:00,2023-03-17 12:59:00,2023-03-15 13:59:00,2023-03-15 13:35:21.670,Within SLA,2023-03-20 04:08:16.353,SLA Violated,,10.0,,Ready to use Software,Tier 1,Poland,52.536273,19.050639
In progress,1604,High,Email,Product setup,1st line support,Sheela Cutten,2023-03-15 03:33:55,2023-03-17 03:33:55,2023-03-15 04:33:55,2023-03-15 03:48:41.194,Within SLA,,SLA Violated,,9.0,,Custom software development,Tier 1,Poland,52.536273,19.050639
Resolved,1606,High,Chat,Bug report,1st line support,Bernard Beckley,2023-03-15 12:11:12,2023-03-16 12:11:12,2023-03-15 12:13:12,2023-03-15 12:12:32.332,Within SLA,2023-03-16 03:56:25.119,Within SLA,,3.0,,Custom software development,Tier 1,Italy,43.036776,12.678565
Resolved,1609,Medium,Chat,Pricing and licensing,1st line support,Sheela Cutten,2023-03-16 20:58:03,2023-03-17 20:58:03,2023-03-16 21:00:03,2023-03-16 20:58:16.780,Within SLA,2023-03-17 06:49:58.096,Within SLA,,6.0,,Training and Consulting Services,Tier 1,Slovenia,46.1491664,14.9860106
Resolved,1612,High,Chat,Bug report,1st line support,Connor Danielovitch,2023-03-16 02:30:07,2023-03-17 02:30:07,2023-03-16 02:32:07,2023-03-16 02:31:43.191,Within SLA,2023-03-16 09:24:10.161,Within SLA,,4.0,,Custom software development,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1614,High,Email,Bug report,1st line support,Sheela Cutten,2023-03-16 18:30:18,2023-03-18 18:30:18,2023-03-16 19:30:18,2023-03-16 21:29:31.442,SLA Violated,2023-03-17 12:24:43.722,Within SLA,,2.0,,Custom software development,Tier 1,France,48.864716,2.349014
Resolved,1616,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-03-16 06:25:19,2023-03-18 06:25:19,2023-03-16 07:25:19,2023-03-16 06:26:38.518,Within SLA,2023-03-16 09:04:16.819,Within SLA,,1.0,,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347
Resolved,1617,Medium,Email,Product setup,1st line support,Sheela Cutten,2023-03-16 12:36:44,2023-03-18 12:36:44,2023-03-16 13:36:44,2023-03-16 12:49:57.352,Within SLA,2023-03-16 23:25:32.822,Within SLA,,1.0,,Ready to use Software,Tier 1,Republic of Ireland,53.094024,-8.019675
Resolved,1619,Low,Email,Product setup,1st line support,Kristos Westoll,2023-03-17 10:58:28,2023-03-19 10:58:28,2023-03-17 11:58:28,2023-03-17 11:04:56.385,Within SLA,2023-03-23 00:12:07.025,SLA Violated,,6.0,,Other,Tier 1,Austria,47.6964719,13.3457347
Resolved,1626,High,Email,Feature request,1st line support,Nicola Wane,2023-03-18 00:21:14,2023-03-20 00:21:14,2023-03-18 01:21:14,2023-03-18 00:33:52.288,Within SLA,2023-03-18 14:39:42.480,Within SLA,,2.0,,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Resolved,1628,High,Email,Bug report,1st line support,Sheela Cutten,2023-03-18 08:08:35,2023-03-20 08:08:35,2023-03-18 09:08:35,2023-03-18 09:00:07.414,Within SLA,2023-03-20 04:11:32.390,Within SLA,,7.0,,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126
Resolved,1630,Low,Phone,Feature request,1st line support,Sheela Cutten,2023-03-18 08:59:42,2023-03-20 08:59:42,2023-03-18 09:01:42,2023-03-18 09:01:39.934,Within SLA,2023-03-18 15:41:58.960,Within SLA,,2.0,,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106
In progress,1631,Low,Phone,Product setup,1st line support,Connor Danielovitch,2023-03-19 18:00:21,2023-03-21 18:00:21,2023-03-19 18:02:21,2023-03-19 18:04:12.913,SLA Violated,,SLA Violated,,1.0,,Ready to use Software,Tier 1,Poland,52.536273,19.050639
Resolved,1632,Low,Email,Feature request,1st line support,Sheela Cutten,2023-03-19 21:00:31,2023-03-21 21:00:31,2023-03-19 22:00:31,2023-03-20 01:55:47.901,SLA Violated,2023-03-21 13:11:42.073,Within SLA,,2.0,,Custom software development,Tier 1,Germany,51.165691,10.451526
In progress,1637,Low,Phone,Product setup,1st line support,Connor Danielovitch,2023-03-19 12:53:48,2023-03-21 12:53:48,2023-03-19 12:55:48,2023-03-19 12:59:45.144,SLA Violated,,SLA Violated,,3.0,,Custom software development,Tier 1,Italy,43.036776,12.678565
In progress,1639,Low,Email,Feature request,2nd line support,Adolpho Messingham,2023-03-20 19:10:24,2023-03-22 19:10:24,2023-03-20 20:10:24,2023-03-20 19:28:28.082,Within SLA,,SLA Violated,,1.0,,Other,Tier 2,Germany,51.165691,10.451526
Resolved,1640,High,Phone,Product setup,1st line support,Connor Danielovitch,2023-03-20 07:20:34,2023-03-22 07:20:34,2023-03-20 07:22:34,2023-03-20 07:21:27.226,Within SLA,2023-03-20 17:57:46.341,Within SLA,,3.0,,Custom software development,Tier 1,Slovenia,46.1491664,14.9860106
Resolved,1641,Medium,Email,Product setup,1st line support,Kristos Westoll,2023-03-20 22:27:49,2023-03-22 22:27:49,2023-03-20 23:27:49,2023-03-20 22:37:30.389,Within SLA,2023-03-21 12:54:25.015,Within SLA,,10.0,,Other,Tier 1,Slovenia,46.1491664,14.9860106
Resolved,1649,Low,Chat,Training request,1st line support,Kristos Westoll,2023-03-21 10:42:02,2023-03-22 10:42:02,2023-03-21 10:44:02,2023-03-21 10:44:07.589,SLA Violated,2023-03-22 10:23:14.420,Within SLA,,9.0,,Training and Consulting Services,Tier 1,Italy,43.036776,12.678565
In progress,1650,Medium,Email,Other,1st line support,Bernard Beckley,2023-03-22 04:26:56,2023-03-24 04:26:56,2023-03-22 05:26:56,2023-03-22 05:00:29.936,Within SLA,,SLA Violated,,2.0,,Ready to use Software,Tier 1,France,48.864716,2.349014
Resolved,1651,Low,Email,Feature request,1st line support,Bernard Beckley,2023-03-22 00:13:36,2023-03-24 00:13:36,2023-03-22 01:13:36,2023-03-22 00:53:11.162,Within SLA,2023-03-23 02:09:22.763,Within SLA,,6.0,,Other,Tier 1,Greece,39.368279,21.863141
Resolved,1653,Medium,Email,Product setup,1st line support,Nicola Wane,2023-03-22 01:30:24,2023-03-24 01:30:24,2023-03-22 02:30:24,2023-03-22 02:17:00.818,Within SLA,2023-03-22 05:08:56.316,Within SLA,,2.0,,Training and Consulting Services,Tier 1,Greece,39.368279,21.863141
Resolved,1659,Low,Email,Bug report,2nd line support,Adolpho Messingham,2023-03-23 14:27:04,2023-03-25 14:27:04,2023-03-23 15:27:04,2023-03-23 15:26:05.990,Within SLA,2023-03-25 11:18:47.843,Within SLA,,10.0,,Training and Consulting Services,Tier 2,Greece,39.368279,21.863141
In progress,1660,Low,Email,Feature request,2nd line support,Michele Whyatt,2023-03-23 22:39:46,2023-03-25 22:39:46,2023-03-23 23:39:46,2023-03-23 23:30:11.964,Within SLA,,SLA Violated,,8.0,,Other,Tier 2,Italy,43.036776,12.678565
Resolved,1665,Medium,Email,Feature request,1st line support,Nicola Wane,2023-03-24 07:33:22,2023-03-26 07:33:22,2023-03-24 08:33:22,2023-03-24 08:02:14.755,Within SLA,2023-03-25 12:21:56.021,Within SLA,,3.0,,Custom software development,Tier 1,France,48.864716,2.349014
In progress,1666,Medium,Email,Product setup,1st line support,Bernard Beckley,2023-03-24 22:12:44,2023-03-26 22:12:44,2023-03-24 23:12:44,2023-03-24 22:54:22.851,Within SLA,,SLA Violated,,2.0,,Custom software development,Tier 1,Greece,39.368279,21.863141
Resolved,1674,Medium,Email,Feature request,1st line support,Sheela Cutten,2023-03-24 06:37:36,2023-03-26 06:37:36,2023-03-24 07:37:36,2023-03-24 07:34:25.157,Within SLA,2023-03-24 10:10:41.570,Within SLA,,2.0,,Ready to use Software,Tier 1,Poland,52.536273,19.050639
In progress,1676,Low,Email,Product setup,1st line support,Bernard Beckley,2023-03-25 17:27:15,2023-03-27 17:27:15,2023-03-25 18:27:15,2023-03-25 18:02:38.771,Within SLA,,SLA Violated,,7.0,,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126
Resolved,1691,Low,Phone,Other,1st line support,Connor Danielovitch,2023-03-26 01:47:02,2023-03-28 01:47:02,2023-03-26 01:49:02,2023-03-26 01:48:08.214,Within SLA,2023-03-30 20:51:29.670,SLA Violated,,1.0,,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347
In progress,1692,Low,Email,Pricing and licensing,1st line support,Nicola Wane,2023-03-27 16:55:41,2023-03-29 16:55:41,2023-03-27 17:55:41,2023-03-27 17:24:29.641,Within SLA,,SLA Violated,,10.0,,Ready to use Software,Tier 1,Germany,51.165691,10.451526
In progress,1694,High,Email,Feature request,1st line support,Sheela Cutten,2023-03-27 19:39:56,2023-03-29 19:39:56,2023-03-27 20:39:56,2023-03-27 20:00:33.668,Within SLA,,SLA Violated,,1.0,,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1695,Low,Chat,Product setup,1st line support,Nicola Wane,2023-03-27 08:57:08,2023-03-28 08:57:08,2023-03-27 08:59:08,2023-03-27 08:57:46.476,Within SLA,2023-03-27 10:34:19.012,Within SLA,,4.0,,Custom software development,Tier 1,Republic of Ireland,53.094024,-8.019675
In progress,1696,Low,Phone,Other,1st line support,Sheela Cutten,2023-03-27 14:12:36,2023-03-29 14:12:36,2023-03-27 14:14:36,2023-03-27 14:12:36.876,Within SLA,,SLA Violated,,4.0,,Other,Tier 1,Austria,47.6964719,13.3457347
In progress,1697,Low,Phone,Product setup,1st line support,Sheela Cutten,2023-03-28 00:41:10,2023-03-30 00:41:10,2023-03-28 00:43:10,2023-03-28 00:44:02.913,SLA Violated,,SLA Violated,,1.0,,Other,Tier 1,Poland,52.536273,19.050639
Resolved,1698,Low,Chat,Feature request,1st line support,Nicola Wane,2023-03-28 05:44:27,2023-03-29 05:44:27,2023-03-28 05:46:27,2023-03-28 05:44:52.962,Within SLA,2023-03-29 03:29:53.369,Within SLA,,6.0,,Other,Tier 1,Italy,43.036776,12.678565
In progress,1701,Low,Chat,Feature request,2nd line support,Adolpho Messingham,2023-03-28 20:46:16,2023-03-29 20:46:16,2023-03-28 20:48:16,2023-03-28 20:48:51.670,SLA Violated,,SLA Violated,,6.0,,Other,Tier 2,Italy,43.036776,12.678565
Resolved,1702,Low,Email,Purchasing and invoicing,1st line support,Nicola Wane,2023-03-28 08:09:43,2023-03-30 08:09:43,2023-03-28 09:09:43,2023-03-28 13:31:54.086,SLA Violated,2023-03-29 03:29:47.484,Within SLA,,6.0,,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Resolved,1704,Medium,Email,Product setup,2nd line support,Michele Whyatt,2023-03-29 01:29:54,2023-03-31 01:29:54,2023-03-29 02:29:54,2023-03-29 02:07:18.955,Within SLA,2023-03-29 10:30:05.418,Within SLA,,9.0,,Training and Consulting Services,Tier 2,Poland,52.536273,19.050639
In progress,1706,Low,Email,Product setup,1st line support,Sheela Cutten,2023-03-29 17:06:26,2023-03-31 17:06:26,2023-03-29 18:06:26,2023-03-29 17:49:23.200,Within SLA,,SLA Violated,,1.0,,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039
Resolved,1707,Medium,Chat,Pricing and licensing,1st line support,Sheela Cutten,2023-03-29 08:39:21,2023-03-30 08:39:21,2023-03-29 08:41:21,2023-03-29 08:40:17.375,Within SLA,2023-03-29 09:17:28.861,Within SLA,,6.0,,Custom software development,Tier 1,France,48.864716,2.349014
In progress,1709,Low,Chat,Training request,2nd line support,Michele Whyatt,2023-03-29 20:14:43,2023-03-30 20:14:43,2023-03-29 20:16:43,2023-03-29 20:16:25.212,Within SLA,,SLA Violated,,6.0,,Training and Consulting Services,Tier 2,United Kingdom,55.378052,-3.435973
Resolved,1718,Low,Chat,Pricing and licensing,1st line support,Bernard Beckley,2023-03-30 22:31:49,2023-03-31 22:31:49,2023-03-30 22:33:49,2023-03-30 22:32:50.454,Within SLA,2023-03-31 13:51:54.477,Within SLA,,4.0,,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106
In progress,1719,Low,Chat,Product setup,1st line support,Nicola Wane,2023-03-30 07:13:06,2023-03-31 07:13:06,2023-03-30 07:15:06,2023-03-30 07:13:38.154,Within SLA,,SLA Violated,,7.0,,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106
Resolved,1720,Low,Email,Bug report,1st line support,Nicola Wane,2023-03-30 12:29:28,2023-04-01 12:29:28,2023-03-30 13:29:28,2023-03-30 13:15:57.877,Within SLA,2023-03-31 21:35:36.487,Within SLA,,8.0,,Ready to use Software,Tier 1,Italy,43.036776,12.678565
Resolved,1722,Low,Chat,Feature request,1st line support,Connor Danielovitch,2023-03-30 20:59:16,2023-03-31 20:59:16,2023-03-30 21:01:16,2023-03-30 20:59:37.687,Within SLA,2023-03-31 19:19:55.227,Within SLA,,60.0,,Custom software development,Tier 1,France,48.864716,2.349014
Resolved,1727,Low,Chat,Feature request,1st line support,Connor Danielovitch,2023-03-31 08:54:42,2023-04-01 08:54:42,2023-03-31 08:56:42,2023-03-31 08:56:24.236,Within SLA,2023-04-01 04:59:42.793,Within SLA,,6.0,,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Resolved,1728,High,Email,Feature request,2nd line support,Adolpho Messingham,2023-03-31 17:02:56,2023-04-02 17:02:56,2023-03-31 18:02:56,2023-03-31 17:30:19.485,Within SLA,2023-04-02 14:44:39.260,Within SLA,,10.0,,Ready to use Software,Tier 2,Poland,52.536273,19.050639
